CarModel,Bodystructure ,Fullloadquality ,Gearbox ,Lengthwidthheight ,Manufacturer ,Maximumspeed ,Motorbrand ,Rank ,Timeoflisting ,Transmissiondescription ,Typeofenergy ,Typeofkey 
24 models 675km four-wheel drive WE version,5-door 5-seater hatchback ,3030,1 gear fixed tooth ratio ,4977*1999*1545 ,Extreme Krypton ,240,Quzhou Extreme Electric,Large and medium-sized cars ,2024/2/27 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | UWB digital key 
24 models 705km four-wheel drive ME version,5-door 5-seater hatchback ,2930,1 gear fixed tooth ratio ,4977*1999*1533 ,Extreme Krypton ,240,Quzhou Extreme Electric,Large and medium-sized cars ,2024/2/27 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | UWB digital key 
24 models 705km four-wheel drive YOU version,5-door 5-seater hatchback ,2930,1 gear fixed tooth ratio ,4977*1999*1533 ,Extreme Krypton ,240,Quzhou Extreme Electric,Large and medium-sized cars ,2024/2/27 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | UWB digital key 
24 models 688km rear drive enhanced version lithium iron phosphate ,4-door 5-seat sedan ,2525,1 gear fixed tooth ratio ,4865*1900*1450 ,Extreme Krypton ,210,Quzhou Extreme Electric ,Medium-sized car ,2024/4/1 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Bluetooth key | NFC/RFID key | UWB digital key 
24 models 688km rear-drive intelligent driving version Lithium iron phosphate,4-door 5-seat sedan ,2525,1 gear fixed tooth ratio ,4865*1900*1450 ,Extreme Krypton ,210,Quzhou Extreme Electric ,Medium-sized car ,2023/12/27 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Bluetooth key | NFC/RFID key | UWB digital key 
"24 models 870km rear-drive enhanced version, three-yuan lithium",4-door 5-seat sedan ,2535,1 gear fixed tooth ratio ,4865*1900*1450 ,Extreme Krypton ,210,Quzhou Extreme Electric ,Medium-sized car ,2024/4/1 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Bluetooth key | NFC/RFID key | UWB digital key 
24 models 616km four-wheel drive version lithium iron phosphate,4-door 5-seat sedan ,2655,1 gear fixed tooth ratio ,4865*1900*1450 ,Extreme Krypton ,210,Quzhou Extreme Electric ,Medium-sized car ,2023/12/27 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Bluetooth key | NFC/RFID key | UWB digital key 
24 models 770km four-wheel drive intelligent driving version three yuan lithium,4-door 5-seat sedan ,2665,1 gear fixed tooth ratio ,4865*1900*1450 ,Extreme Krypton ,210,Quzhou Extreme Electric ,Medium-sized car ,2023/12/27 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Bluetooth key | NFC/RFID key | UWB digital key 
24 models 1.5T 129km two-wheel drive wild version ,5-door 5-seater SUV ,2612,3-gear Hybrid (DHT) ,4785*2006*1875 ,Chery Automobile ， New Energy ,197,NODATA,Compact SUV ,2024/4/22 0:00,3-gear DHT ,NODATA,| Remote control key | Bluetooth key 
24 models 1.5T 129km two-wheel drive forest wild version,5-door 5-seater SUV ,2612,3-gear Hybrid (DHT) ,4785*2006*1875 ,Chery Automobile ， New Energy ,197,NODATA,Compact SUV ,2024/4/22 0:00,3-gear DHT ,NODATA,| Remote control key | Bluetooth key 
24 models 1.5T 208km two-wheel drive mountain wild version,5-door 5-seater SUV ,2612,3-gear Hybrid (DHT) ,4785*2006*1875 ,Chery Automobile ， New Energy ,210,NODATA,Compact SUV ,2024/4/22 0:00,3-gear DHT ,NODATA,| Remote control key | Bluetooth key 
24 models 1.5T 208km four-wheel drive forest wild version,5-door 5-seater SUV ,-,3-gear Hybrid (DHT) ,4785*2006*1875 ,Chery Automobile ， New Energy ,-,NODATA,Compact SUV ,-,3-gear DHT ,NODATA,-
23 models 318km 318 Lite Lithium Iron Phosphate ,5-door 5-seater SUV ,1456,1 gear fixed tooth ratio ,4070*1690*1540 ,Hozon Motors ,101,Zhuzhou CRRC Times Electric/Philips Green Energy ,Small SUV ,2023/8/3 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
23 models 401km 401 Lite Lithium Iron Phosphate ,5-door 5-seater SUV ,1526,1 gear fixed tooth ratio ,4070*1690*1540 ,Hozon Motors ,101,Physs Green Energy ,Small SUV ,2023/8/3 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
23 models 401km 401 lithium iron phosphate ,5-door 5-seater SUV ,1526,1 gear fixed tooth ratio ,4070*1690*1540 ,Hozon Motors ,101,Physs Green Energy ,Small SUV ,2023/8/3 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models Modified Panda Mini 200km Longteng Edition ,3-door 4-seater hatchback ,1125,1 gear fixed tooth ratio ,3065*1522*1600,Geely Automobile ， New Energy ,100,Zhejiang Oswell ,Mini car ,2024/4/16 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key ＄ Bluetooth key 
24 models Panda mini 200km Endurance Bear ,3-door 4-seater hatchback ,1125,1 gear fixed tooth ratio ,3065*1522*1600,Geely Automobile ， New Energy ,100,Zhejiang Oswell ,Mini car ,2024/4/16 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 200km Panda Knight ,3-door 4-seater hatchback ,1115,1 gear fixed tooth ratio ,3135*1565*1655 ,Geely Automobile ， New Energy ,100,Zhejiang Oswell ,Mini car ,2023/9/15 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 200km Panda Karting ,3-door 4-seater hatchback ,1125,1 gear fixed tooth ratio ,3150*1540*1685 ,Geely Automobile ， New Energy ,100,Zhejiang Oswell ,Mini car ,2024/5/9 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 410km travel version ,4-door 5-seat sedan ,1972,1 gear fixed tooth ratio ,4752*1804*1520 ,Geely Automobile ， New Energy ,150,Zhejiang Xinke ,Compact car ,2023/8/15 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 500km travel version ,4-door 5-seat sedan ,- ,1 gear fixed tooth ratio ,4752*1804*1520 ,Geely Automobile ， New Energy ,165,Zhejiang Xinke ,Compact car ,2024/5/11 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 200km 200 Light Edition ,5-door 4-seat hatchback ,1295,1 gear fixed tooth ratio ,3620*1652*1605 ,Leapmotor car ,100,Geely Geometry Intelligent Power ,Mini car ,2024/3/2 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 300km 310 comfortable version ,5-door 4-seat hatchback ,1402,1 gear fixed tooth ratio ,3620*1652*1605 ,Leapmotor car ,100,Geely Geometry Intelligent Power ,Mini car ,2024/3/2 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 403km 403 comfortable version ,5-door 4-seat hatchback ,1490,1 gear fixed tooth ratio ,3620*1652*1592 ,Leapmotor car ,100,Jinhua Leapmotor New Energy ,Mini car ,2024/3/2 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 403km 403 comfortable version .1,5-door 4-seat hatchback ,1490,1 gear fixed tooth ratio ,3620*1652*1592 ,Leapmotor car ,100,Jinhua Leapmotor New Energy ,Mini car ,2024/3/2 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 517km Elite PRO ,4-door 5-seat sedan ,2145,1 gear fixed tooth ratio ,4725*1835*1480 ,FAW Toyota ， New Energy ,160,Fuddy Power ,Medium-sized car ,2024/1/29 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 616km long battery life PRO ,4-door 5-seat sedan ,2260,1 gear fixed tooth ratio ,4725*1835*1475,FAW Toyota ， New Energy ,160,Fuddy Power ,Medium-sized car ,2024/1/29 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 616km Long Range Premium ,4-door 5-seat sedan ,2260,1 gear fixed tooth ratio ,4725*1835*1475,FAW Toyota ， New Energy ,160,Fuddy Power ,Medium-sized car ,2024/1/29 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 modes 517km Elite PRO,4-door 5-seat sedan ,2145,1 gear fixed tooth ratio ,4725*1835*1480 ,FAW Toyota ， New Energy ,160,Fuddy Power ,Medium-sized car ,2024/1/29 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 616km long battery life PRO,4-door 5-seat sedan ,2260,1 gear fixed tooth ratio ,4725*1835*1475 ,FAW Toyota ， New Energy ,160,Fuddy Power ,Medium-sized car ,2024/1/29 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 616km long battery life Premium  ,4-door 5-seat sedan ,2260,1 gear fixed tooth ratio ,4725*1835*1475 ,FAW Toyota ， New Energy ,160,Fuddy Power ,Medium-sized car ,2024/1/29 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key 
24 models 450km Pure Smart Edition,5-door 5-seat hatchback ,2220,1 gear fixed tooth ratio ,4261*1778*1568 ,SAIC Volkswagen ， New Energy ,160,Volkswagen ,Compact car ,2024/1/1 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 450km outstanding version,5-door 5-seat hatchback ,2220,1 gear fixed tooth ratio ,4261*1778*1568 ,SAIC Volkswagen ， New Energy ,160,Volkswagen ,Compact car ,2024/1/1 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 450km extremely smart version,5-door 5-seat hatchback ,2220,1 gear fixed tooth ratio ,4261*1778*1568 ,SAIC Volkswagen ， New Energy ,160,Volkswagen ,Compact car ,2024/1/10 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
23 models upgraded 450km Jizhi version,5-door 5-seat hatchback ,2220,1 gear fixed tooth ratio ,4261*1778*1568 ,SAIC Volkswagen ， New Energy ,160,Volkswagen ,Compact car ,2023/4/18 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models modified 600km rear-drive PURE+ version,5-door 5-seater SUV ,NODATA,1 gear fixed tooth ratio ,4592*1852*1629 ,FAW-Volkswagen，New Energy ,160,Volkswagen ,Compact SUV ,2024/4/18 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models modified 600km rear-drive PRO version,5-door 5-seater SUV ,NODATA,1 gear fixed tooth ratio ,4592*1852*1629 ,FAW-Volkswagen，New Energy ,160,Volkswagen ,Compact SUV ,2024/4/18 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 560km four-wheel drive PRIME version,5-door 5-seater SUV ,NODATA,1 gear fixed tooth ratio ,4592*1852*1629 ,FAW-Volkswagen，New Energy ,160,Former Huayu Magna/Rear Volkswagen ,Compact SUV ,2023/9/5 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 530km Chuangling Type,5-door 5-seater SUV ,2725,1 gear fixed tooth ratio ,4746*1891*1683 ,BMW Brilliance ， New Energy ,180,ZF/BMW AG ,Medium-sized SUV ,2024/1/31 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 540km Leading Type,5-door 5-seater SUV ,2725,1 gear fixed tooth ratio ,4746*1891*1683 ,BMW Brilliance ， New Energy ,180,ZF/BMW AG ,Medium-sized SUV ,2024/1/31 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
23 models 535km model,5-door 5-seater SUV ,2725,1st gear fixed tooth ratio,4746*1891*1683 ,BMW Huachen ， New Energy ,180,ZF/BMW AG,Medium-sized SUV ,2023/2/1 0:00,Electric vehicle single-speed transmission ,Pure electricity ,| Remote control key 
23 models modified 550km leading mode,5-door 5-seater SUV ,2725,1st gear fixed tooth ratio,4746*1891*1683 ,BMW Huachen ， New Energy ,180,ZF/BMW AG,Medium-sized SUV ,-,Electric vehicle single-speed transmission ,Pure electricity ,| Remote control key 
24 models 40 e-tron Chuangxing Edition ,5-door 5-seater SUV ,2640,1 gear fixed tooth ratio ,4588*1865*1626 ,FAW Audi ， New Energy ,160,Volkswagen ,Compact SUV ,2023/11/1 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 40 e-tron Night Edition ,5-door 5-seater SUV ,2640,1 gear fixed tooth ratio ,4588*1865*1626 ,FAW Audi ， New Energy ,160,Volkswagen ,Compact SUV ,2023/11/1 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 50 e-tron quattro ,5-door 5-seater SUV ,2720,1 gear fixed tooth ratio ,4588*1865*1626 ,FAW Audi ， New Energy ,160,Former Huayu Magna/Rear Volkswagen ,Compact SUV ,2023/11/1 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models 50 e-tron quattro Creative Night Edition ,5-door 5-seater SUV ,2720,1 gear fixed tooth ratio ,4588*1865*1626 ,FAW Audi ， New Energy ,160,Former Huayu Magna/Rear Volkswagen ,Compact SUV ,2023/11/1 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
22 models EQE 350 Deluxe Edition,4-door 5-seat sedan ,2880,1 gear fixed tooth ratio ,4969*1906*1514 ,Beijing Mercedes-Benz-EQ ,180,Continental Siemens,Large and medium-sized cars ,2022/8/24 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
22 models EQE 350 Pioneer Special Edition,4-door 5-seat sedan ,2880,1 gear fixed tooth ratio ,4969*1906*1514 ,Beijing Mercedes-Benz-EQ ,180,Continental Siemens,Large and medium-sized cars ,2022/8/24 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
22 models EQE 350 Pioneer Edition ,4-door 5-seat sedan ,2880,1 gear fixed tooth ratio ,4969*1906*1514 ,Beijing Mercedes-Benz-EQ ,180,Continental Siemens,Large and medium-sized cars ,2022/8/24 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key 
24 models Honor Edition 305km Dynamic Edition ,5-door 4-seat hatchback ,NODATA,1 gear fixed tooth ratio ,3780*1715*1540 ,BYD，New Energy ,130,BYD ,Small car ,2024/3/6 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models Honor Edition 305km Free Edition ,5-door 4-seat hatchback ,NODATA,1 gear fixed tooth ratio ,3780*1715*1540 ,BYD，New Energy ,130,BYD ,Small car ,2024/3/6 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models Honor Edition 405km Flying Edition ,5-door 4-seat hatchback ,NODATA,1 gear fixed tooth ratio ,3780*1715*1540 ,BYD，New Energy ,130,BYD ,Small car ,2024/3/6 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models EV Honor Edition 600km Front Drive Premium 7 seats ,5-door 7-seat SUV ,2885,1 gear fixed tooth ratio ,4900*1950*1725 ,BYD，New Energy ,180,BYD ,Medium-sized SUV ,2024/4/22 0:00,Single-speed gearbox for electric vehicles ,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models EV Honor Edition 730km Front Drive Premium 7 seats ,5-door 7-seat SUV ,2965,1 gear fixed tooth ratio ,4900*1950*1725 ,BYD，New Energy ,180,BYD ,Medium-sized SUV ,2024/4/22 0:00,Single-speed gearbox for electric vehicles,Pure electricity ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models DM-i Honor Edition 1.5T 112km Front Drive Premium ,5-door 7-seat SUV ,2678,Electronic stepless transmission (E-CVT) ,4870*1950*1725 ,BYD，New Energy ,180,BYD ,Medium-sized SUV ,2024/2/28 0:00,E-CVT stepless transmission ,Plug-in hybrid ,| Remote control key | Bluetooth key | NFC/RFID key 
24 models DM-p Honor Edition 1.5T 215km Four-wheel Drive Flagship Edition 7 seats ,5-door 7-seat SUV ,2970,Electronic stepless transmission (E-CVT) ,4870*1950*1725 ,BYD，New Energy ,180,BYD ,Medium-sized SUV ,2024/4/22 0:00,E-CVT stepless transmission ,Plug-in hybrid ,| Remote control key | Bluetooth key | NFC/RFID key 
